pl_name,pl_hab,pl_orbper,pl_rade,pl_masse,pl_eqt,st_teff,sy_dist
HAT-P-34 b,0,5.452654,13.417,1057.694,1520,6442,249.325
HAT-P-35 b,0,3.646706,14.93,334.979,1581,6096,506.965
HAT-P-36 b,0,1.3273466,15.210613,611.82275,1820.2,5560,294.419
HAT-P-37 b,0,2.797436,13.204,371.528,1271,5500,390.594
HAT-P-38 b,0,4.640382,9.247,84.857,1082,5330,255.206
HAT-P-39 b,0,3.54387,17.609,190.372,1752,6430,697.004
HAT-P-4 b,0,3.056536,14.23543,216.1244,,5860,320.451
HAT-P-40 b,0,4.457243,19.39157,184.65923,,6080,464.469
HAT-P-41 b,0,2.694047,18.887165,252.67485,,6390,348.185
HAT-P-42 b,0,4.641878,14.348,331.801,1428,5743,405.238
HAT-P-43 b,0,3.332687,14.359,210.395,1361,5645,528.825
HAT-P-44 b,0,4.301219,13.922,111.871,1108,5295,347.85
HAT-P-44 c,0,872.2,,,,5295,347.85
HAT-P-45 b,0,3.128992,15.984,283.492,1652,6330,298.64
HAT-P-46 b,0,4.463129,14.392,156.684,1458,6120,290.736
HAT-P-49 b,0,2.691548,15.838,549.823,2131,6820,350.351
HAT-P-5 b,0,2.788491,14.12,336.89,,5960,303.336
HAT-P-50 b,0,3.1220109,14.437192,429.0705,1862,6280,515.458
HAT-P-51 b,0,4.21802091,13.50682174,97.57332095,1168.2,5453,440.089
HAT-P-52 b,0,2.7535953,11.309881,259.98494,1218,5131,361.155
HAT-P-53 b,0,1.9616241,14.773462,471.65972,1778,5956,666.802
HAT-P-54 b,0,3.799847,10.581296,241.5508,818,4390,143.651
HAT-P-55 b,0,3.5852313,14.84069045,189.4257306,1367,5804,511.388
HAT-P-56 b,0,2.7908327,16.432394,692.8694,1840,6566,320.639
HAT-P-57 b,0,2.465295,15.838317,587.9855,2200,7500,279.86
HAT-P-58 b,0,4.0138379,14.93036229,118.2321674,1622,6078,515.59
HAT-P-59 b,0,4.1419771,12.58768533,489.4557468,1277.8,5678,265.471
HAT-P-6 b,0,3.852985,14.908,335.932,,6570,275.358
